Cohort Date,Split 1,Split 2,Cohort Date.1,First Deposit C,First Deposit S,Deposit APPC,First Deposit 2 Deposit Conversion,24h First Deposit 2 Deposit Conversion,7D First Deposit 2 Deposit Conversion,1D Deposit S,1D Deposit C,3D Deposit S,7D Deposit S,7D Deposit C,14D Deposit S,28D Deposit S,Marketing Spend,1D CNGR,3D CNGR,7D CNGR,14D CNGR,28D CNGR,Mono Instant Depositor Share
2025-11-20,ZM_aso_crash,Belgium,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Canada,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Country 1,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Country 2,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Country 3,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Country 4,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Czech Republic,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Finland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Germany,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Hungary,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Ireland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Italy,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Latvia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Norway,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Poland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Portugal,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Russia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Singapore,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,Switzerland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,ZM_aso_crash,United States,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Australia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Austria,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Belgium,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Canada,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Country 1,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Country 2,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Country 3,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Country 4,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Czech Republic,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Germany,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Greece,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Hungary,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Indonesia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Italy,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Norway,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Poland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Russia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_aso_slots,Switzerland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Albania,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Algeria,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Andorra,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Angola,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Argentina,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Australia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Austria,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Belgium,2025-11-20,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2025-11-20,zm_crash,Bermuda,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Brazil,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Bulgaria,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Canada,2025-11-20,2.0,62.0,1.0,0.0,0.0,0.0,62.0,2.0,62.0,62.0,2.0,62.0,62.0,260.0,26.0,26.0,26.0,26.0,26.0,0.0
2025-11-20,zm_crash,Cape Verde,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,China,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Cook Islands,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Country 1,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Country 2,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Country 3,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Country 4,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Croatia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Czech Republic,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Denmark,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Egypt,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Estonia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Fiji,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Finland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Germany,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Greece,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Guadaloupe,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Hong Kong,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Hungary,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,India,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Indonesia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Iraq,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Ireland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Italy,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Ivory Coast,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Japan,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Jersey,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Jordan,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Kazakhstan,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Kosovo,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Lebanon,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Lithuania,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Luxembourg,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Macedonia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Maldives,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Martinique,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Mexico,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Moldava,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Montenegro,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Morocco,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Mozambique,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Nepal,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,New Zealand,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Nigeria,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Norway,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Paraguay,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Phillipines,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Poland,2025-11-20,1.0,19.0,1.0,0.0,0.0,0.0,19.0,1.0,19.0,19.0,1.0,19.0,19.0,100.0,17.0,17.0,17.0,17.0,17.0,0.0
2025-11-20,zm_crash,Portugal,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Reunion,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Romania,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Russia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Saint Lucia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Samoa,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,San Marino,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Senegal,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Serbia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Singapore,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Slovakia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Solomon Islands,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,South Africa,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Sweden,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Switzerland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Thailand,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Togo,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Tonga,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Tunisia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Turkey,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Tuvalu,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Ukraine,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,United States,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Vanuatu,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Venezuela,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_crash,Vietnam,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,Argentina,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,Australia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,Austria,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,Belgium,2025-11-20,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-20,zm_inapp_crash,Canada,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,Country 1,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,Country 2,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,Country 3,2025-11-20,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
2025-11-20,zm_inapp_crash,Country 4,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,Cyprus,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,Czech Republic,2025-11-20,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2025-11-20,zm_inapp_crash,Denmark,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,Estonia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,Georgia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,Germany,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,Greece,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,Italy,2025-11-20,4.0,90.0,1.0,0.0,0.0,0.0,90.0,4.0,90.0,90.0,4.0,90.0,90.0,520.0,73.0,73.0,73.0,73.0,73.0,0.0
2025-11-20,zm_inapp_crash,Poland,2025-11-20,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
2025-11-20,zm_inapp_crash,Serbia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_crash,United States,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_slot,Austria,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_slot,Belgium,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_slot,Country 1,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_slot,Country 3,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_slot,Country 4,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_inapp_slot,Germany,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Albania,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Australia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Austria,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Bangladesh,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Belgium,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Brazil,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Canada,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Chile,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Country 1,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Country 2,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Country 3,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Country 4,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Czech Republic,2025-11-20,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
2025-11-20,zm_slot,Denmark,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Egypt,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Finland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Germany,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Greece,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Hong Kong,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Hungary,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,India,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Ireland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Italy,2025-11-20,1.0,20.0,1.0,0.0,0.0,0.0,20.0,1.0,20.0,20.0,1.0,20.0,20.0,0.0,18.0,18.0,18.0,18.0,18.0,0.0
2025-11-20,zm_slot,Kazakhstan,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Martinique,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Mexico,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Montenegro,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Nigeria,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Norway,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Peru,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Phillipines,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Poland,2025-11-20,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2025-11-20,zm_slot,Portugal,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Romania,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Russia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Sweden,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Switzerland,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Tunisia,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,Ukraine,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,
2025-11-20,zm_slot,United States,,,,,,,,,,,,,,,,,,,,,
2025-11-19,,Australia,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Austria,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Belarus,,,,,,,,,,,,,,,,,,,,,
2025-11-19,,Belgium,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Canada,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,China,,,,,,,,,,,,,,,,,,,,,
2025-11-19,,Country 1,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Country 3,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Country 4,,,,,,,,,,,,,,,,,,,,,
2025-11-19,,Croatia,,,,,,,,,,,,,,,,,,,,,
2025-11-19,,Czech Republic,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Denmark,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Finland,,,,,,,,,,,,,,,,,,,,,
2025-11-19,,Germany,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Greece,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Hungary,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Ireland,,,,,,,,,,,,,,,,,,,,,
2025-11-19,,Italy,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Kazakhstan,,,,,,,,,,,,,,,,,,,,,
2025-11-19,,Latvia,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,New Zealand,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Norway,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Poland,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Portugal,,,,,,,,,,,,,,,,,,,,,
2025-11-19,,Romania,,,,,,,,,,,,,,,,,,,,,
2025-11-19,,Russia,,,,,,,,,,,,,,,,,,,,,
2025-11-19,,Slovakia,,,,,,,,,,,,,,,,,,,,,
2025-11-19,,Slovenia,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Switzerland,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,,Ukraine,,,,,,,,,,,,,,,,,,,,,
2025-11-19,,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,
2025-11-19,,United States,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Australia,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Belgium,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Canada,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Colombia,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Country 1,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Country 2,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Country 3,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Finland,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Germany,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Hungary,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,044agency,Ireland,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Laos,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Malaysia,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,New Zealand,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Norway,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Poland,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,044agency,Portugal,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Romania,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Serbia,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Seychelles,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Singapore,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,South Africa,,,,,,,,,,,,,,,,,,,,,
2025-11-19,044agency,Switzerland,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Algeria,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Austria,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Bangladesh,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Belgium,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Canada,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Country 1,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Country 3,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Country 4,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Croatia,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Germany,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Greece,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Italy,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Ivory Coast,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,AcePartners,Malta,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Mexico,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Norway,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,AcePartners,Poland,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Portugal,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Russia,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Switzerland,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Tunisia,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,United States,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AcePartners,Uzbekistan,,,,,,,,,,,,,,,,,,,,,
2025-11-19,Ads2Bets,Canada,,,,,,,,,,,,,,,,,,,,,
2025-11-19,Ads2Bets,Country 1,,,,,,,,,,,,,,,,,,,,,
2025-11-19,Ads2Bets,Country 2,,,,,,,,,,,,,,,,,,,,,
2025-11-19,Ads2Bets,Country 3,,,,,,,,,,,,,,,,,,,,,
2025-11-19,Ads2Bets,Finland,,,,,,,,,,,,,,,,,,,,,
2025-11-19,Ads2Bets,Germany,,,,,,,,,,,,,,,,,,,,,
2025-11-19,Ads2Bets,Italy,,,,,,,,,,,,,,,,,,,,,
2025-11-19,Ads2Bets,Norway,,,,,,,,,,,,,,,,,,,,,
2025-11-19,Ads2Bets,Poland,,,,,,,,,,,,,,,,,,,,,
2025-11-19,Ads2Bets,Ukraine,,,,,,,,,,,,,,,,,,,,,
2025-11-19,Ads2Bets,United States,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AdvertiseCrash,Austria,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,AdvertiseCrash,Country 1,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AdvertiseCrash,Country 3,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AdvertiseCrash,Germany,2025-11-19,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-19,AdvertiseCrash,Italy,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AdvertiseCrash,Portugal,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AdvertiseSlots,Country 1,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AdvertiseSlots,Finland,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AdvertiseSlots,Greece,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AdvertiseSlots,Poland,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AdvertiseSlots,Portugal,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AdvertiseSlots,Switzerland,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AdvertiseSlots,United States,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AffNet,Belgium,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AffNet,Country 1,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AffNet,Country 3,,,,,,,,,,,,,,,,,,,,,
2025-11-19,AffNet,Country 4,,,,,,,,,,,,,,,,,,,,,
